STATION,STATION_NAME,DATE,TAVG,TMAX,TMIN,TOBS
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120101,-9999,52,20,22
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120102,-9999,35,17,20
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120103,-9999,52,20,36
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120104,-9999,56,25,27
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120105,-9999,58,27,35
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120106,-9999,67,34,37
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120107,-9999,46,22,23
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120108,-9999,37,13,13
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120109,-9999,38,12,18
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120110,-9999,50,18,27
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120111,-9999,57,21,22
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120112,-9999,24,2,22
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120113,-9999,44,19,36
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120114,-9999,44,25,32
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120115,-9999,57,27,38
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120116,-9999,54,23,23
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120117,-9999,32,8,10
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120118,-9999,30,9,23
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120119,-9999,53,23,48
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120120,-9999,63,38,44
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120121,-9999,53,33,35
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120122,-9999,66,32,39
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120123,-9999,43,22,23
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120124,-9999,50,22,32
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120125,-9999,33,21,24
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120126,-9999,61,24,38
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120127,-9999,56,35,37
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120128,-9999,38,17,18
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120129,-9999,46,17,39
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120130,-9999,52,32,36
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120131,-9999,59,27,28
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120201,-9999,51,26,28
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120202,-9999,55,26,30
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120205,-9999,32,7,9
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120206,-9999,34,9,12
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120207,-9999,36,12,20
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120208,-9999,26,7,9
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120209,-9999,40,6,25
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120210,-9999,45,16,24
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120211,-9999,40,9,9
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120212,-9999,21,6,9
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120213,-9999,30,6,23
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120214,-9999,43,19,20
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120215,-9999,45,18,22
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120216,-9999,36,15,16
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120217,-9999,47,16,19
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120218,-9999,41,16,16
GHCND:USC00055402,MARSTON FILTER PLANT CO US,20120219,-9999,46,14,23
